distance_km,weather,transport_mode,supplier_reliability,is_holiday,origin,destination,delayed
330.0,Clear,Road,81.3,0,Antwerp Freight,Berlin DC,0
740.0,Rain,Road,85.3,0,Antwerp Freight,Warsaw Crossdock,0
1767.8,Clear,Air,79.5,0,Munich Hub,Paris Nord,0
820.6,Clear,Road,61.8,0,Hamburg Port,Prague Depot,0
379.0,Clear,Road,65.9,0,Hamburg Port,Vienna Logistics,0
981.0,Fog,Air,64.3,0,Antwerp Freight,Zurich Terminus,0
1104.3,Rain,Road,82.4,0,Hamburg Port,Vienna Logistics,0
132.8,Rain,Road,44.5,1,Frankfurt Central,Vienna Logistics,1
1707.9,Clear,Rail,55.5,0,Rotterdam Gate,Prague Depot,1
640.7,Fog,Road,58.0,0,Munich Hub,Warsaw Crossdock,0
981.8,Fog,Rail,73.7,0,Milan Cargo,Prague Depot,0
695.8,Clear,Road,71.1,0,Milan Cargo,Vienna Logistics,0
2219.7,Clear,Sea,87.6,0,Frankfurt Central,Warsaw Crossdock,0
1094.1,Rain,Road,79.5,0,Munich Hub,Warsaw Crossdock,0
899.9,Storm,Air,63.8,0,Rotterdam Gate,Vienna Logistics,1
1022.2,Clear,Air,68.7,0,Rotterdam Gate,Warsaw Crossdock,0
1064.9,Clear,Rail,82.2,0,Rotterdam Gate,Prague Depot,1
1099.0,Snow,Air,65.0,0,Rotterdam Gate,Zurich Terminus,1
1396.8,Rain,Rail,56.1,0,Frankfurt Central,Berlin DC,1
214.3,Rain,Road,78.6,0,Milan Cargo,Berlin DC,0
523.3,Storm,Road,83.4,1,Frankfurt Central,Warsaw Crossdock,0
1125.3,Clear,Road,86.4,0,Munich Hub,Prague Depot,0
1087.4,Rain,Rail,92.1,0,Milan Cargo,Warsaw Crossdock,0
542.2,Clear,Sea,93.8,1,Milan Cargo,Paris Nord,0
1097.5,Clear,Rail,51.3,1,Frankfurt Central,Warsaw Crossdock,0
3122.1,Clear,Sea,44.2,0,Munich Hub,Zurich Terminus,1
1062.9,Storm,Sea,79.3,0,Rotterdam Gate,Prague Depot,1
961.9,Fog,Road,42.5,0,Antwerp Freight,Warsaw Crossdock,0
447.7,Clear,Road,88.3,0,Frankfurt Central,Vienna Logistics,0
1143.3,Clear,Sea,48.8,0,Munich Hub,Zurich Terminus,0
568.4,Clear,Road,65.9,0,Rotterdam Gate,Prague Depot,0
2011.5,Clear,Air,72.7,0,Hamburg Port,Prague Depot,1
1644.5,Snow,Rail,83.4,0,Rotterdam Gate,Warsaw Crossdock,1
2628.9,Rain,Sea,63.6,0,Frankfurt Central,Prague Depot,0
809.4,Clear,Air,49.1,0,Frankfurt Central,Warsaw Crossdock,0
850.1,Clear,Road,64.4,0,Rotterdam Gate,Paris Nord,0
1668.0,Rain,Rail,63.4,0,Antwerp Freight,Prague Depot,0
1648.6,Clear,Sea,66.1,0,Antwerp Freight,Prague Depot,1
166.8,Rain,Road,76.0,1,Milan Cargo,Paris Nord,0
865.2,Clear,Rail,56.1,0,Munich Hub,Paris Nord,1
1078.6,Clear,Road,72.5,0,Munich Hub,Zurich Terminus,0
2020.8,Rain,Air,76.0,0,Rotterdam Gate,Zurich Terminus,0
589.3,Clear,Road,78.9,0,Frankfurt Central,Berlin DC,0
1152.2,Clear,Road,61.6,0,Munich Hub,Zurich Terminus,1
852.4,Rain,Air,89.8,0,Frankfurt Central,Paris Nord,0
321.6,Clear,Rail,91.2,0,Antwerp Freight,Paris Nord,0
559.8,Storm,Road,77.1,0,Munich Hub,Prague Depot,1
664.4,Clear,Road,78.1,0,Rotterdam Gate,Warsaw Crossdock,0
920.5,Clear,Road,81.0,0,Frankfurt Central,Berlin DC,0
91.4,Storm,Road,67.3,0,Hamburg Port,Prague Depot,1
352.5,Clear,Road,75.2,0,Munich Hub,Berlin DC,0
704.9,Clear,Rail,71.6,0,Hamburg Port,Zurich Terminus,0
2731.4,Rain,Sea,77.0,1,Milan Cargo,Prague Depot,1
1057.4,Fog,Road,77.4,1,Frankfurt Central,Warsaw Crossdock,0
163.0,Fog,Road,88.6,0,Rotterdam Gate,Berlin DC,0
665.3,Storm,Road,51.7,0,Milan Cargo,Prague Depot,1
1813.6,Clear,Air,79.0,0,Milan Cargo,Warsaw Crossdock,0
1042.8,Clear,Road,69.6,0,Munich Hub,Vienna Logistics,0
246.9,Clear,Road,89.3,0,Frankfurt Central,Paris Nord,0
384.9,Clear,Road,70.6,0,Rotterdam Gate,Warsaw Crossdock,0
1576.8,Clear,Rail,63.1,0,Munich Hub,Berlin DC,0
1215.7,Clear,Rail,79.2,0,Rotterdam Gate,Zurich Terminus,0
1138.6,Rain,Road,82.2,0,Hamburg Port,Paris Nord,0
140.7,Fog,Road,74.1,1,Munich Hub,Warsaw Crossdock,1
394.3,Clear,Rail,64.7,1,Frankfurt Central,Zurich Terminus,1
882.6,Fog,Road,55.7,0,Munich Hub,Warsaw Crossdock,0
1606.9,Snow,Rail,86.1,0,Rotterdam Gate,Vienna Logistics,0
928.6,Rain,Rail,60.0,0,Hamburg Port,Zurich Terminus,0
1498.3,Storm,Rail,53.5,0,Munich Hub,Zurich Terminus,1
